% isAttack tcpFlood:	111
% isAttack normal:	333
% isAttack slowRead:	111
% isAttack httpFlood:	111
% isAttack slowHeaders:	111
% isAttack udpFlood:	93
% isAttack slowBody:	111
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,RSTO,1059,56,82,82,0,slowHeaders
tcp,OTH,60,703,49,49,0,slowBody
tcp,S1,296,181,100,100,0,slowBody
tcp,OTH,96,205,50,50,0,slowBody
tcp,OTH,70,251,50,50,0,slowHeaders
tcp,RSTO,1100,105,100,100,0,slowRead
tcp,OTH,60,286,48,48,0,slowBody
tcp,S1,74,46,79,78,0,slowBody
tcp,S1,148,402,100,100,0,slowRead
tcp,S1,997,67,82,81,0,slowRead
tcp,OTH,60,665,49,49,0,slowHeaders
tcp,OTH,60,1109,56,56,0,slowBody
tcp,S1,370,10,100,100,0,slowBody
tcp,S1,370,288,100,100,0,slowHeaders
tcp,OTH,94,93,50,50,0,slowHeaders
tcp,OTH,112,159,50,50,0,slowRead
tcp,OTH,60,1121,51,51,0,slowRead
tcp,S1,296,112,100,100,0,slowRead
tcp,S1,296,27,100,100,0,slowBody
tcp,S1,296,185,100,100,0,slowBody
tcp,S1,296,490,100,100,0,slowBody
tcp,OTH,60,687,59,59,0,slowRead
tcp,S1,370,27,100,100,0,slowHeaders
tcp,S1,370,564,100,100,0,slowHeaders
tcp,OTH,66,570,77,77,0,slowBody
tcp,OTH,60,887,47,47,0,slowHeaders
tcp,OTH,66,347,80,80,0,slowRead
tcp,OTH,102,109,50,50,0,slowRead
tcp,OTH,86,175,50,50,0,slowBody
tcp,OTH,60,803,46,46,0,slowHeaders
tcp,OTH,119,80,50,50,0,slowBody
tcp,OTH,60,615,90,90,0,slowHeaders
tcp,OTH,102,90,50,50,0,slowRead
tcp,S1,296,309,100,100,0,slowBody
tcp,OTH,115,49,55,55,0,slowBody
tcp,S1,370,820,100,100,0,slowRead
tcp,OTH,66,591,90,90,0,slowRead
tcp,RSTO,1107,105,100,100,0,slowHeaders
tcp,S1,148,300,99,98,0,slowRead
tcp,RSTO,935,125,99,99,0,slowBody
tcp,S1,148,415,100,100,0,slowRead
tcp,S1,74,501,99,99,0,slowHeaders
tcp,RSTO,1087,139,100,100,0,slowBody
tcp,OTH,99,256,50,50,0,slowHeaders
tcp,OTH,99,283,50,50,0,slowRead
tcp,OTH,66,559,94,94,0,slowRead
tcp,S1,665,77,94,93,0,slowHeaders
tcp,OTH,113,277,50,50,0,slowHeaders
tcp,S1,296,87,100,100,0,slowBody
tcp,OTH,98,214,50,50,0,slowRead
tcp,OTH,66,214,59,59,0,slowBody
tcp,OTH,60,5,65,65,0,slowRead
tcp,OTH,525,5,5,5,0,slowBody
tcp,S1,768,126,100,100,0,slowHeaders
tcp,S1,400,135,99,99,0,slowHeaders
tcp,S1,370,635,100,100,0,slowRead
tcp,RSTO,1056,167,100,100,0,slowHeaders
tcp,RSTO,1147,483,100,100,0,slowBody
tcp,S1,296,491,100,100,0,slowRead
tcp,S1,74,487,99,99,0,slowRead
tcp,OTH,60,923,29,29,0,slowBody
tcp,OTH,126,237,50,50,0,slowRead
tcp,S1,296,659,100,100,0,slowRead
tcp,S1,222,772,100,100,0,slowBody
tcp,S1,296,49,100,100,0,slowBody
tcp,OTH,60,1103,51,51,0,slowBody
tcp,OTH,60,808,36,36,0,slowRead
tcp,OTH,60,692,85,85,0,slowRead
tcp,S1,370,231,100,100,0,slowBody
tcp,S1,296,643,100,100,0,slowRead
tcp,S1,777,42,77,76,0,slowHeaders
tcp,S1,370,318,100,100,0,slowBody
tcp,OTH,60,437,88,88,0,slowBody
tcp,OTH,66,512,86,86,0,slowHeaders
tcp,S1,735,130,100,100,0,slowHeaders
tcp,OTH,107,189,50,50,0,slowHeaders
tcp,OTH,60,688,48,48,0,slowBody
tcp,OTH,60,953,45,45,0,slowBody
tcp,S1,296,679,100,100,0,slowRead
tcp,S1,370,167,100,100,0,slowHeaders
tcp,OTH,60,476,82,82,0,slowHeaders
tcp,S1,222,710,100,100,0,slowBody
tcp,S1,370,478,100,100,0,slowBody
tcp,S1,222,622,100,100,0,slowBody
tcp,OTH,60,848,50,50,0,slowRead
tcp,OTH,66,328,72,72,0,slowRead
tcp,OTH,60,1122,48,48,0,slowRead
tcp,RSTO,1256,289,100,100,0,slowRead
tcp,S1,222,725,100,100,0,slowRead
tcp,S1,370,248,100,100,0,slowBody
tcp,OTH,66,379,86,86,0,slowHeaders
tcp,S1,296,464,100,100,0,slowRead
tcp,S1,296,82,100,100,0,slowRead
tcp,RSTO,867,90,96,96,0,slowHeaders
tcp,S1,370,581,100,100,0,slowBody
tcp,OTH,66,375,98,98,0,slowHeaders
tcp,S1,296,414,100,100,0,slowRead
tcp,S1,3889,210,100,100,0,slowBody
tcp,S1,370,432,100,100,0,slowBody
tcp,RSTO,940,369,100,100,0,slowRead
tcp,SF,151,2,196,255,0,normal
tcp,SF,324,26,255,255,0,normal
tcp,SF,195,11,255,255,0,normal
tcp,SF,213,5,13,255,0,normal
tcp,SF,409,13,139,247,0.49,normal
tcp,SF,231,18,255,255,0,normal
tcp,SF,182,5,99,255,0,normal
tcp,SF,206,8,255,255,0,normal
tcp,SF,217,12,12,255,0,normal
tcp,SF,324,8,8,255,0,normal
tcp,SF,233,14,255,255,0,normal
tcp,SF,236,9,28,255,0,normal
tcp,SF,310,11,31,242,0,normal
tcp,SF,238,9,44,255,0,normal
tcp,SF,291,3,255,255,0,normal
tcp,SF,330,2,255,255,0.01,normal
tcp,SF,270,4,18,255,0,normal
tcp,REJ,0,4,14,189,0.94,normal
tcp,SF,307,11,236,255,0,normal
tcp,SF,372,3,3,255,0,normal
tcp,SF,291,26,250,255,0,normal
tcp,SF,243,18,255,255,0,normal
tcp,SF,305,7,81,255,0,normal
tcp,SF,165,9,191,191,0,normal
tcp,SF,239,15,255,255,0,normal
tcp,SF,329,11,255,255,0,normal
tcp,SF,325,1,122,254,0,normal
tcp,SF,209,15,116,255,0,normal
tcp,SF,238,1,26,255,0,normal
tcp,SF,222,10,10,255,0,normal
tcp,SF,195,4,4,255,0,normal
tcp,SF,243,5,133,255,0.6,normal
tcp,SF,249,11,255,255,0,normal
tcp,SF,231,10,255,255,0,normal
tcp,SF,308,12,255,255,0,normal
tcp,SF,197,3,205,255,0,normal
tcp,SF,224,13,24,24,0,normal
tcp,SF,362,2,255,255,0,normal
tcp,SF,203,7,66,255,0,normal
tcp,REJ,0,17,41,188,0.97,normal
tcp,SF,323,50,63,255,0,normal
tcp,REJ,0,1,9,47,1,normal
tcp,SF,338,17,255,255,0,normal
tcp,SF,203,4,163,255,0,normal
tcp,SF,305,5,255,244,0,normal
tcp,SF,217,3,3,255,0,normal
tcp,SF,221,11,35,255,0,normal
tcp,SF,374,5,255,255,0,normal
tcp,SF,283,3,3,255,0,normal
tcp,SF,236,1,134,255,0,normal
tcp,SF,241,1,1,255,0,normal
tcp,SF,207,2,4,255,0,normal
tcp,SF,285,13,53,255,0,normal
tcp,SF,237,4,255,248,0,normal
tcp,SF,229,2,255,255,0,normal
tcp,SF,212,16,255,255,0,normal
tcp,SF,323,1,56,255,0,normal
tcp,SF,313,14,98,255,0,normal
tcp,SF,193,3,31,255,0,normal
tcp,SF,330,2,137,255,0,normal
tcp,SF,364,5,255,255,0,normal
tcp,SF,237,27,186,255,0,normal
tcp,SF,280,8,255,255,0,normal
tcp,SF,271,31,127,255,0,normal
tcp,SF,218,5,12,89,0,normal
tcp,SF,319,24,255,255,0,normal
tcp,SF,379,34,255,255,0,normal
tcp,SF,293,5,158,255,0,normal
tcp,SF,234,1,137,140,0,normal
tcp,SF,270,2,117,255,0,normal
tcp,SF,331,15,255,255,0,normal
tcp,SF,329,12,12,255,0,normal
tcp,SF,198,41,255,255,0,normal
tcp,SF,304,5,255,246,0,normal
tcp,REJ,0,7,25,111,0.86,normal
tcp,SF,230,13,255,255,0,normal
tcp,SF,286,33,255,255,0,normal
tcp,SF,214,3,89,255,0,normal
tcp,REJ,0,1,48,201,0.91,normal
tcp,SF,296,15,100,255,0.7,normal
tcp,SF,198,24,255,255,0,normal
tcp,SF,227,19,138,255,0,normal
tcp,SF,317,4,4,255,0,normal
tcp,SF,228,3,161,255,0.02,normal
tcp,SF,239,4,32,32,0,normal
tcp,SF,211,10,252,255,0,normal
tcp,SF,318,7,8,99,0,normal
tcp,SF,208,30,30,255,0,normal
tcp,SF,320,11,11,255,0,normal
tcp,SF,232,50,255,255,0,normal
tcp,SF,300,19,220,255,0,normal
tcp,SF,179,1,255,254,0,normal
tcp,SF,359,8,35,255,0,normal
tcp,SF,220,3,255,255,0,normal
tcp,SF,227,11,113,255,0,normal
tcp,SF,239,17,17,253,0,normal
tcp,SF,232,3,3,255,0,normal
tcp,SF,179,2,255,244,0,normal
tcp,SF,283,31,255,255,0,normal
tcp,SF,225,9,26,255,0,normal
tcp,SF,206,29,255,255,0,normal
tcp,SF,309,5,255,255,0,normal
tcp,SF,156,3,12,255,0,normal
tcp,SF,264,10,56,255,0,normal
tcp,SF,276,1,24,255,0,normal
tcp,REJ,0,1,34,255,0.99,normal
tcp,SF,196,1,255,255,0,normal
tcp,SF,237,1,16,255,0,normal
tcp,SF,214,7,255,255,0,normal
tcp,SF,216,29,255,255,0,normal
tcp,SF,176,1,255,245,0,normal
tcp,SF,199,3,255,255,0,normal
tcp,SF,189,33,154,255,0,normal
tcp,SF,272,3,255,255,0,normal
tcp,SF,255,12,255,255,0,normal
tcp,SF,192,2,255,255,0,normal
tcp,SF,217,8,8,255,0,normal
tcp,SF,214,13,13,255,0,normal
tcp,SF,228,3,255,255,0,normal
tcp,SF,233,15,92,255,0,normal
tcp,REJ,0,1,7,255,0.94,normal
tcp,SF,296,10,69,255,0,normal
tcp,SF,352,14,255,255,0,normal
tcp,SF,347,15,255,255,0,normal
tcp,SF,200,10,54,255,0,normal
tcp,SF,210,10,35,255,0,normal
tcp,SF,205,18,255,255,0,normal
tcp,SF,182,2,255,255,0,normal
tcp,SF,185,4,4,255,0,normal
tcp,REJ,0,1,88,255,0.99,normal
tcp,SF,301,9,9,203,0,normal
tcp,SF,206,11,82,255,0,normal
tcp,SF,320,14,14,255,0,normal
tcp,SF,299,4,23,228,0.01,normal
tcp,SF,213,9,30,255,0,normal
tcp,SF,252,14,93,255,0,normal
tcp,SF,313,16,16,255,0,normal
tcp,SF,215,15,113,255,0,normal
tcp,SF,192,6,36,255,0,normal
tcp,SF,207,6,6,255,0,normal
tcp,SF,241,11,102,255,0,normal
tcp,SF,245,3,13,255,0,normal
tcp,SF,363,1,110,255,0,normal
tcp,SF,203,2,4,255,0,normal
tcp,SF,339,14,53,255,0,normal
tcp,SF,298,1,255,255,0,normal
tcp,SF,224,29,255,255,0,normal
tcp,SF,257,9,223,255,0,normal
tcp,SF,322,6,60,255,0,normal
tcp,SF,226,20,167,255,0,normal
tcp,SF,198,1,186,255,0,normal
tcp,S1,227,2,2,255,0,normal
tcp,SF,205,20,183,255,0,normal
tcp,SF,310,2,255,246,0,normal
tcp,SF,310,17,187,215,0,normal
tcp,SF,286,3,255,255,0,normal
tcp,SF,210,3,13,255,0,normal
tcp,SF,335,16,255,255,0,normal
tcp,SF,329,8,26,255,0,normal
tcp,SF,228,9,255,255,0,normal
tcp,SF,210,9,36,255,0,normal
tcp,SF,249,17,255,255,0,normal
tcp,SF,298,2,255,255,0,normal
tcp,SF,242,12,110,255,0,normal
tcp,SF,244,5,169,255,0,normal
tcp,REJ,0,1,22,7,1,normal
tcp,SF,296,9,9,255,0,normal
tcp,REJ,0,2,4,255,1,normal
tcp,SF,230,25,177,255,0,normal
tcp,SF,324,11,48,255,0,normal
tcp,SF,231,1,1,255,0,normal
tcp,SF,286,2,255,255,0,normal
tcp,SF,210,10,32,255,0,normal
tcp,SF,227,26,255,255,0,normal
tcp,SF,204,38,255,255,0,normal
tcp,SF,210,8,11,255,0,normal
tcp,SF,232,1,255,253,0,normal
tcp,SF,230,1,3,255,0,normal
tcp,SF,302,12,36,255,0,normal
tcp,SF,272,8,161,255,0,normal
tcp,SF,239,8,220,255,0,normal
tcp,SF,235,7,58,255,0,normal
tcp,SF,225,10,112,255,0,normal
tcp,SF,214,3,142,255,0,normal
tcp,REJ,0,1,1,206,1,normal
tcp,SF,206,55,56,255,0,normal
tcp,SF,299,26,255,255,0,normal
tcp,REJ,0,1,6,93,1,normal
tcp,SF,331,21,111,255,0,normal
tcp,SF,301,5,13,255,0,normal
tcp,S0,0,1,1,120,0.99,normal
tcp,SF,145,1,62,255,0,normal
tcp,SF,220,2,23,255,0,normal
tcp,SF,346,18,143,255,0,normal
tcp,SF,218,4,36,255,0,normal
tcp,SF,222,3,3,255,0,normal
tcp,SF,272,2,158,255,0,normal
tcp,SF,334,9,225,255,0.13,normal
tcp,REJ,0,1,53,255,0.73,normal
tcp,SF,286,31,255,255,0,normal
tcp,SF,233,1,255,255,0,normal
tcp,SF,215,28,68,68,0,normal
tcp,SF,200,11,55,255,0,normal
tcp,REJ,0,1,14,255,0.99,normal
tcp,SF,224,37,255,255,0,normal
tcp,REJ,0,1,66,52,1,normal
tcp,SF,299,2,255,248,0,normal
tcp,SF,239,1,255,255,0,normal
tcp,SF,234,16,255,255,0,normal
tcp,SF,227,4,13,255,0,normal
tcp,SF,187,2,255,255,0,normal
tcp,SF,296,18,190,255,0,normal
tcp,SF,306,6,215,201,0,normal
tcp,SF,320,13,112,255,0,normal
tcp,SF,209,12,255,255,0,normal
tcp,SF,149,1,2,255,0,normal
tcp,SF,317,7,255,255,0,normal
tcp,SF,306,28,96,255,0,normal
tcp,SF,210,10,35,255,0,normal
tcp,SF,246,1,1,255,0,normal
tcp,REJ,0,1,17,79,1,normal
tcp,SF,278,1,1,255,0,normal
tcp,SF,286,2,15,248,0,normal
tcp,SF,321,41,153,255,0,normal
tcp,REJ,0,1,1,91,1,normal
tcp,SF,258,21,255,255,0,normal
tcp,SF,252,34,139,237,0,normal
tcp,SF,276,1,255,255,0,normal
tcp,SF,178,1,21,255,0,normal
tcp,SF,231,12,48,255,0,normal
tcp,SF,224,6,255,255,0,normal
tcp,SF,196,1,2,255,0,normal
tcp,SF,226,2,202,255,0,normal
tcp,SF,329,25,47,255,0,normal
tcp,SF,207,4,10,255,0,normal
tcp,SF,284,3,176,176,0,normal
tcp,SF,292,13,80,255,0,normal
tcp,SF,280,3,3,255,0,normal
tcp,SF,226,4,119,255,0.01,normal
tcp,SF,328,2,21,255,0,normal
tcp,SF,318,35,255,255,0,normal
tcp,SF,280,4,250,255,0,normal
tcp,SF,282,20,48,255,0,normal
tcp,SF,193,1,74,255,0,normal
tcp,REJ,0,1,1,26,1,normal
tcp,SF,167,1,6,255,0,normal
tcp,SF,284,1,3,6,0,normal
tcp,SF,207,16,16,255,0,normal
tcp,SF,238,1,32,255,0,normal
tcp,SF,225,17,255,255,0,normal
tcp,SF,229,3,255,252,0,normal
tcp,SF,258,1,6,255,0,normal
tcp,SF,283,8,255,255,0,normal
tcp,SF,303,5,255,246,0,normal
tcp,SF,278,7,255,255,0,normal
tcp,SF,510,12,255,255,0,normal
tcp,SF,331,11,255,255,0,normal
tcp,REJ,0,1,3,226,1,normal
tcp,SF,251,30,255,255,0,normal
tcp,SF,219,4,255,255,0,normal
tcp,SF,248,18,255,255,0,normal
tcp,SF,259,16,78,198,0,normal
tcp,SF,284,5,255,255,0,normal
tcp,SF,220,1,163,255,0,normal
tcp,SF,286,8,8,255,0,normal
tcp,SF,307,2,121,72,0,normal
tcp,SF,300,14,74,255,0,normal
tcp,SF,300,2,255,241,0,normal
tcp,SF,247,10,255,255,0,normal
tcp,REJ,0,1,32,255,0.99,normal
tcp,SF,291,17,255,255,0,normal
tcp,SF,234,7,255,254,0,normal
tcp,SF,319,16,16,255,0,normal
tcp,SF,311,11,104,255,0,normal
tcp,SF,233,13,255,255,0,normal
tcp,SF,311,13,26,255,0,normal
tcp,SF,229,17,91,255,0,normal
tcp,SF,310,9,47,156,0,normal
tcp,SF,270,3,190,255,0,normal
tcp,SF,210,32,255,255,0,normal
tcp,SF,306,16,86,255,0,normal
tcp,SF,238,2,2,255,0,normal
tcp,SF,219,13,255,255,0,normal
tcp,SF,159,1,38,255,0,normal
tcp,SF,205,4,55,255,0,normal
tcp,SF,300,9,42,255,0,normal
tcp,REJ,0,1,1,130,0.99,normal
tcp,SF,373,10,198,255,0.05,normal
tcp,SF,299,6,255,250,0,normal
tcp,SF,178,1,53,255,0,normal
tcp,S2,209,1,7,255,0.01,normal
tcp,SF,202,2,90,255,0.02,normal
tcp,SF,251,6,36,255,0,normal
tcp,SF,188,1,255,231,0,normal
tcp,SF,2044,5,28,255,0,normal
tcp,SF,306,17,255,255,0,normal
tcp,SF,309,3,255,225,0,normal
tcp,SF,340,9,139,255,0.04,normal
tcp,SF,316,2,255,229,0,normal
tcp,S1,221,2,11,255,0.05,normal
tcp,SF,347,7,255,255,0.02,normal
tcp,SF,304,10,255,255,0,normal
tcp,SF,215,21,153,255,0,normal
tcp,SF,227,17,25,255,0,normal
tcp,SF,162,1,74,255,0.01,normal
tcp,SF,211,2,53,255,0,normal
tcp,SF,217,7,7,255,0,normal
tcp,SF,281,10,20,255,0,normal
tcp,SF,339,8,255,249,0,normal
tcp,SF,224,23,23,255,0,normal
tcp,SF,309,3,254,243,0,normal
tcp,SF,263,1,255,243,0,normal
tcp,SF,347,7,190,255,0,normal
tcp,SF,199,4,227,255,0,normal
tcp,SF,190,2,109,255,0,normal
tcp,SF,228,17,255,255,0,normal
tcp,SF,229,24,27,255,0,normal
tcp,SF,347,8,255,255,0,normal
tcp,S0,0,2,4,255,0,normal
tcp,SF,240,9,253,239,0,normal
tcp,SF,247,9,255,255,0,normal
tcp,REJ,0,6,16,191,0.94,normal
tcp,SF,312,10,23,255,0,normal
tcp,SF,290,9,156,255,0,normal
tcp,SF,224,4,4,255,0,normal
tcp,SF,273,3,255,255,0,normal
tcp,SF,301,25,255,255,0,normal
tcp,SF,229,8,255,255,0,normal
tcp,SF,215,9,255,255,0,normal
tcp,SF,330,5,152,255,0,normal
tcp,SF,244,1,140,255,0,normal
tcp,S0,0,1,4,255,0,normal
tcp,SF,315,5,51,255,0,normal
