% isAttack HIGH_RATE:	6000
% isAttack LOW_RATE:	6000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,12,15,17,33'

@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_b_packets numeric
@attribute rfb_bytes numeric
@attribute max_f_pkt numeric
@attribute min_b_pkt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,0,0,44,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,0,0,44,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,0,0,44,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,0,0,44,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,0,0,44,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
22,1,2.090909,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
4,0,0,46,0,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
18,1,1.045455,46,44,HIGH_RATE
